day,new_accounts,anonymous_messages_percent,total_messages,thread_change_percent
2025-04-01,8,66.67,3,0
2025-04-02,5,40.00,5,0
2025-04-03,3,58.82,17,-50.0
2025-04-04,7,40.00,5,-25.0
2025-04-05,6,33.33,9,133.33
2025-04-06,10,66.67,6,-28.57
2025-04-07,4,66.67,9,-20.0
2025-04-08,7,37.50,8,-25.0
2025-04-09,6,33.33,12,33.33
2025-04-10,5,42.86,7,50.0
2025-04-11,6,50.00,6,-33.33
2025-04-12,3,55.56,9,-50.0
2025-04-13,5,35.71,14,300.0
2025-04-14,4,50.00,4,-62.5
2025-04-15,7,58.33,12,100.0
2025-04-16,2,37.50,8,-50.0
2025-04-17,5,62.50,8,-33.33
2025-04-18,5,25.00,8,300.0
2025-04-19,9,75.00,4,-12.5
2025-04-20,8,33.33,6,0.0
2025-04-21,7,62.50,8,-28.57
2025-04-22,6,66.67,9,20.0
2025-04-23,4,62.50,8,0.0
2025-04-24,2,16.67,6,-16.67
2025-04-25,7,66.67,9,40.0
2025-04-26,6,66.67,9,-14.29
2025-04-27,10,37.50,8,-33.33
2025-04-28,3,33.33,6,100.0
2025-04-29,8,40.00,10,-50.0
2025-04-30,7,40.00,5,-100.0
